,root,num_radicals,class,type,infinitive,languages,gloss
43,'kl,3,a-u,,,"B, Ass","eat, devour, gorge, consume; take for oneself"
44,'kl,3,i-i,e,,B,become dark
45,'km,3,?-?,,,B,(meaning unclear)
46,'km,3,i-i,e,,B,take away (by force)
47,'kṣ,3,?-?,e,,B,(meaning unknown)
48,'kš,3,u-u,,,"B, Ass","go, move, walk"
49,'l',3,i-i,e,,B,"go up, become high"
50,'ld,3,a-i,,ulādu,"B, Ass","give birth, bear (young)"
51,'lh,3,i-i,e,,B,"sprinkle, strew (flour); (D) adorn"
52,'lk,3,a-i,,,"B, Ass","go, walk, move about (vent)"
53,'ll,3,?-?,,,"B, Ass","(Gt) sing a joyful song, boast; (S) celebrate"
54,'ll,3,a-u,,,"B, Ass","hang up, suspend; (Gt) be tangled, allied"
55,'ll,3,i-i,e,,B,"become pure, become free"
56,'lp,3,?-?,,,B,(Gt) paralyze a part of body
57,'lp,3,i-i,e,,B,"spout, grow; (Dt) multiply; (St) interlock"
58,'lṣ,3,i-i,e,,B,"rejoice, swell"
59,'lt,3,u-u,,,"B, Ass","absorb, swallow (up)"
60,'m',3,?-?,,,B,(meaning unknown)
61,'m',3,i-i,e,,Ass,"become, turn into, change (intrans.)"
62,'m',3,u-u,,,Ass,speak; (Gt) discuss; (St) debate
63,'md,3,i-i,e,,B,"lean against, impose (taxes, punishments)"
64,'mm,3,i-i,e,,B,be(come) hot; (Gtn) have fever or temperature continually
65,'mq,3,?-?,e,,B,I be wise; (Stn) pray devoutly; II care for
66,'mr,3,?-?,e,,B,"I be red; II swell, enlarge"
67,'mr,3,a-u,,,"B, Ass","see, look at; examine, observe; experience"
68,'ms,3,?-?,,,B,(meaning unknown)
69,'mṣ,3,?-?,,,B,(meaning unknown)
70,'mš,3,?-?,,,"B, Ass",be paralysed; cataleptic
71,'mṣ,3,?-?,e,,B,be sour (of beer)
72,'mš,3,?-?,e,,B,strive
73,'mṣ,3,u-u,e,,B,be hungry
74,'n',3,i-i,e,,B,change (trans.)
75,'nb,3,?-?,e,,B,(bear) fruit; (Dtn) gather fruit repeatedly
76,'nh,3,a-a,,,"B, Ass","be weary, be tired, collapse"
77,'nn,3,?-?,e,,B,pray
78,'nn,3,?-?,e,utnēnum,B,pray
79,'nn,3,a-u,e,,B,grant favor; be favorable
80,'nn,3,e-u,e,,B,sin
81,'nn,3,i-i,e,,"B, Ass, OAkk",punish
82,'nš,3,i-i,,,"B, Ass","be weak, dilapidated"
83,'nt,3,?-?,e,,B,flatten; (Dt) be(come) faint (of stars)
84,'p',3,?-?,,,B,"become veiled, cloudy"
85,'p',3,a-i,,,Ass,"be visible, be manifest"
86,'p',3,i-i,e,,B,bake bread
87,'pl,3,?-?,,,B,be (too) late; (D) be retarded
88,'pl,3,a-u,,,Ass,"provide (food), supply"
89,'pl,3,a-u,,,"Ass, B","answer, reply, respond"
90,'pl,3,d-d,,,B,(D) delouse
91,'pp,3,?-?,,,B,(meaning unclear) infiltrate?
92,'pq,3,i-i,e,,B,embrace; grow over
93,'pr,3,a-u,,,B,cover head
94,'pr,3,i-i,,,Ass,cover; (D) put on
95,'pr,3,i-i,e,,B,"feed, provide"
96,'ps,3,?-?,e,,B,be difficult
97,'ps,3,d-d,,,B,(D) fringe
98,'pš,3,e-u,e,,B,"make, do, act, perform"
99,'q',3,?-?,e,,B,"anoint, smear (eyes)"
100,'q',3,d-d,,,B,(D) incise; inscribe; prescribe
101,'q',3,i-i,,,Ass,"wait; (D) await, heed"
102,'qb,3,i-i,e,,Ass,"come close, approach (sexually); (Gt) come very close; (St) pack tightly together"
103,'qq,3,i-i,e,,B,paralyse
104,'r',3,?-?,,,B,vomit; (S) make vomit (with feather)
105,'r',3,i-i,,,"B, Ass","be(come) pregnant, conceive"
106,'r',3,i-i,e,,"B, Ass",be naked; empty (D) strip; bare head
107,'r',3,u-u,,,"B, Ass","lead, bring, take to; (Gt) lead away; (Gtn) guide; steer"
108,'r',3,u-u,,,"B, Ass",cut off; ruin; stop; prune; sever; lop
109,'rb,3,u-u,e,,B,"enter, go in"
110,'rb,3,u-u,XXX,nērubum,B,"(N) flee, escape"
111,'rd,3,a-i,e,,B,"to go down, descend"
112,'rh,3,?-?,,,B,"hasten, be urgent; (D) speed up, scare away"
113,'rh,3,a-a,,,Ass,"hasten, be urgent; (D) speed up, scare away"
114,'rh,3,a-u,,,B,"devour, destroy"
115,'rh,3,i-i,e,,B,"act aggressively, attack"
116,'rk,3,i-i,,,"B, Ass",be(come) long
117,'rm,3,i-i,,,"B, Ass","envelop, cover"
118,'rp,3,u-u,,,"B, Ass","be cloudy, overcast"
119,'rr,3,?-?,,,B,be parched; (D) parch drugs
120,'rr,3,?-?,,na'arrurum,B,(N) go assist
121,'rr,3,a-u,,,"B, Ass",curse; insult
122,'rr,3,u-u,,,"B, Ass","be convulsed, tremble, shake, panic"
123,'rš,3,a-u,,,"B, Ass",cultivate; (S) put under
124,'rš,3,i-i,e,,B,"ask, request, desire"
125,'š',3,?-?,,,Ass,"confuse, trouble, become confused"
126,'s',3,?-?,,,B,"sigh, gasp"
127,'š',3,?-?,,ešē'um,OB,muzzle
128,'š',3,?-?,IRREGULAR,išûm,"B, Ass","have, possess; suffer from disease, ilness"
129,'s',3,i-i,e,,B,effectuate; bring to pass
130,'ṣ',3,i-i,e,,B,slit; cut into (forehead or head)
131,'š',3,i-i,e,,B,"confuse, trouble, become confused"
132,'ṣb,3,a-i,,,"B, Ass","add, increase; (D) multiply"
133,'šb,3,a-i,,ušābu,"OAss, Ass, NA, MA","sit (down), dwell; be (located); (D) settle"
134,'šb,3,i-i,e,,B,flourish (of plants)
135,'sd,3,d-d,,,B,(D) (meaning unknown)
136,'ṣd,3,i-i,e,,B,harvest
137,'sh,3,i-i,e,,B,I gird on; strap on a weapon; II assign; allocate
138,'sk,3,i-i,e,,B,I assign; allocate; II incise; carve
139,'sl,3,?-?,e,,B,blow up; inflate
140,'ṣl,3,i-i,e,,B,paralyse
141,'ṣm,3,a-i,,,Ass,"fit, befit, suit, be proper; (D) adorn building"
142,'ṣn,3,i-i,e,,B,smell (trans.)
143,'šp,3,a-i,,,Ass,"enchant, cast a spell; (D) exorcise"
144,'ṣp,3,i-i,e,,B,double; multiply
145,'sp,3,i-i,e,,B,gather together; (D) scrape up earth from furrows
146,'sq,3,i-i,e,,B,"raise up, strengthen"
147,'šr,3,?-?,,,Ass,"be humble, pious"
148,'šr,3,a-u,,,"B, Ass","check, review; muster"
149,'ṣr,3,i-i,e,,B,"enclose, confine"
150,'sr,3,i-i,e,,B,"I press for payment, collect, II enclose, confine"
151,'šr,3,i-i,e,,"B, Ass","go straight, prosper; (S) put in order; (St1) pass of S; (St2) keep in order"
152,'šš,3,e-u,e,,B,be(come) disturbed
153,'šš,3,u-u,,,Ass,"be desperate, be stressed"
154,'šṭ,3,?-?,,,Ass,"be stiff, be obdurate"
155,'šz,3,?-?,IRREGULAR,izuzzum,"B, Ass",stand; (Gtn) stand around
156,'t',3,?-?,IRREGULAR,nentû,B,(N) overlap; go parallel
157,'ṭ',3,i-i,e,,B,"become dark, become dim"
158,'t',3,u-u,,,Ass,"find, discover, locate"
159,'tk,3,?-?,e,,B,be on guard; (D) alert
160,'tk,3,a-a,,,"B, Ass","be(come) bent, crooked"
161,'ṭl,3,?-?,e,,B,be manly
162,'tl,3,?-?,IRREGULAR,itūlu,B,lie down; sleep
163,'tm,3,?-?,e,,B,"be smitten, affected; (D) mix together; bring into contact; (St) bring against each other"
164,'tn,3,?-?,e,,B,"be smitten, affected; (D) mix together; bring into contact; (St) bring against each other"
165,'tq,3,i-i,e,,B,"pass by, pass through, go beyond"
166,'ṭr,3,i-i,e,,B,"I take away, save, II pay"
167,'ts,3,?-?,IRREGULAR,itussu,NA,stand; (Gtn) stand around
168,'w',3,i-i,e,,"B, Ass","I become, turn into, change (intrans.); II impose on"
169,'w',3,u-u,,,B,speak; (Gt) discuss; (St) debate
170,'z',3,?-?,,,B,"sigh, gasp"
171,'z',3,?-?,e,,B,"be hasty, hurry"
172,'zb,3,i-i,e,,B,"leave behind, abandon, divorce"
173,'zh,3,i-i,e,,B,gird on; strap on a weapon
174,'zr,3,?-?,,,B,help
175,'zr,3,i-i,e,,B,curse
176,'zz,3,?-?,IRREGULAR,izuzzum,"B, OAss",stand; (Gtn) stand around
177,'zz,3,a-a,,,Ass,buzz
178,'zz,3,i-i,e,,B,"become angry, become fierce"
179,'l'',4,d-d,,šutelū'u,B,(St) make lick up
180,'ll',4,d-d,e,ne'ellû,B,(N) roam around
181,'rs',4,d-d,,šutērsûm,"B, Ass","(St) make ready, prepare"
182,b'',3,a-a,,bâ'u,"B, Ass","pass over, pass by, walk"
183,b'',3,a-i,,ba''û,Ass,"seek for, inquire"
184,b'',3,d-d,,,B,"(D) seek for, inquire"
185,b'd,3,a-i,,biādu,Ass,spend the night
186,b'l,3,?-?,,,B,supplicate
187,b'l,3,a-a,,,Ass,beseech
188,b'l,3,a-i,,biālu,Ass,"rule, govern, control, hold"
189,b'l,3,d-d,,,B,(D) cast away; throw down
190,b'l,3,e-e,e,,"B, Ass",rule; be victorious (N) be detained
191,b'l,3,e-e,i,,"B, Ass",rule; be victorious (N) be detained
192,b'l,3,i-i,,ba'ālu,"B, Ass","be bright, be dominant"
193,b'r,3,a-a,,,"B, Ass",I catch (fauna); hunt (fauna; people); II revolt
194,b'r,3,a-i,,biāru,Ass,"examine, check, test, assay"
195,b'r,3,a-u,,buāru,Ass,"affirm, fortify, prove"
196,b'r,3,e-e,e,,"B, Ass","choose (textiles, ingredients, people)"
197,b'r,3,i-i,e,,Ass,put aside
198,b'r,3,i-i,e,,B,(meaning unknown)
199,b'r,3,u-u,,,"Ass, OAkk, B","be firm, durable; appear"
200,b'š,3,a-a,,,"B, Ass","be ashamed, abashed"
201,b'š,3,i-i,,,B,"tamp, stamp"
202,b'š,3,i-i,,ba'āšu,"B, Ass","I be bad, smell bad, smell, worsen; II stir"
203,b'š,3,i-i,e,,"B, Ass",go away; withdraw
204,b'ṭ,3,i-i,,,B,show contempt
205,b't,3,i-i,,biātum,B,stay overnight; spend the night
206,bbl,3,a-i,,,B,"carry, bring"
207,bd',3,i-i,e,,B,be slow?
208,bdd,3,d-d,,,"Ass, B","(D) waste, squander, dissipate"
209,bdh,3,?-?,,,B,kiss
210,bdm,3,?-?,,,B,(meaning unknown)
211,bdq,3,a-u,,,Ass,repair
212,bdq,3,a-u,,,B,cut off parts (of something)
213,bdš,3,?-?,,,B,(meaning unknown)
214,bh',3,?-?,,,B,"be thing, scarce"
215,bh',3,d-d,,,B,(D) seek for
216,bhr,3,?-?,,,Ass,"evaporate, vaporize"
217,bhr,3,d-d,,,B,(D) heat a liquid
218,bhr,3,i-i,e,,B,"choose, select"
219,bhš,3,d-d,,,B,(D) check
220,bhš,3,d-d,,,B,(D) stir
221,bk',3,i-i,,,"B, Ass","weep, cry, bawl; bewail"
222,bkr,3,i-i,,,Ass,sprinkle(?)
223,bl',3,i-i,e,,"B, Ass",be extinguished; come to an end
224,bll,3,a-u,,,"B, Ass","mix, blend, mingle, alloy"
225,blm,3,i-i,,,"B, Ass",gag; muzzle
226,blṣ,3,i-i,,,"B, Ass","I stare, fix the eyes in a stare, II thrust, jerk (with rump)"
227,blṭ,3,a-a,,,"B, Ass","live, survive, subsist"
228,blṭ,3,u-u,,,B,"become well, be alive, live"
229,bn',3,i-i,,,"B, Ass","I build, create, engender, II become pleasant, beautiful"
230,bnn,3,d-d,,,B,(D) (meaning unknown)
231,bql,3,?-?,,,B,"malt, sprout"
232,bql,3,u-u,,,Ass,"malt, sprout"
233,bqm,3,a-u,,,"B, Ass",pluck hair or wool
234,bqn,3,a-u,,,B,pluck hair or wool
235,bqr,3,a-u,,,"B, Ass","claim, allege, contest, arrogate"
236,bqr,3,i-i,,,MB,"become rare, scarce, expensive"
237,bqš,3,?-?,,,B,"be broad, prominent"
238,br',3,?-?,,bitrû,B,"be continuous, permanent"
239,br',3,a-a,,,OAkk,"become hungry, go hungry, starve"
240,br',3,d-d,,,Ass,(D) blazon
241,br',3,e-e,e,,B,"become hungry, go hungry, starve"
242,br',3,i-i,,,Ass,"I be hungry, starve, famish; II continue, go on, persevere; III be on market"
243,br',3,i-i,,,"B, Ass","look at, examine, inspect, observe"
244,brh,3,?-?,,,"B, Ass","beam, shine, radiate"
245,brm,3,?-?,,,"Ass, B","be variegated, multicoloured"
246,brm,3,a-u,,,B,seal up
247,brm,3,i-i,,,Ass,seal up
248,brq,3,i-i,,,"B, Ass","flash (of lightning), strike with lightning"
249,brr,3,u-u,,,B,flicker; be dim; be scintillating
250,brš,3,?-?,,,B,pluck out
251,brṣ,3,u-u,,,"B, Ass","light up, shine brightly"
252,bš',3,i-i,,,"Ass, B","be, exist, be present, be available; (S) give birth"
253,bš',3,i-i,,bašā'u,Ass,despise; disdain
254,bsl,3,?-?,,,B,?
255,bšl,3,a-a,,,"B, Ass","cook, boil, scald, stew"
256,bšm,3,a-u,,,Ass,"carry away, kidnap"
257,bsm,3,d-d,,,B,(D) to please
258,bšm,3,i-i,,,"B, Ass","fashion, design; lay out, create"
259,bṣr,3,?-?,,,B,"cut, pick, harvest (grapes)"
260,bṣr,3,a-u,,,Ass,"cut, pick, harvest (grapes)"
261,bsr,3,d-d,,,B,(D) bring; send; deliver
262,bṣṣ,3,?-?,,,B,trickle
263,bšš,3,u-u,,,B,spread
264,bṭ',3,i-i,e,,B,be slow?
265,bṭl,3,i-i,,,"B, Ass","cease, stop, pack in, pack"
266,btq,3,a-u,,,"B, Ass","cut, cut off, amputate; divide"
267,btr,3,d-d,,,B,(D) mutilate
268,bz',3,?-?,,,"OB, Mari, Am","badger, entail, extort, make unreasonable demands"
269,bzh,3,?-?,,,B,"badger, entail, extort, make unreasonable demands"
270,bzh,3,a-u,,,Ass,"badger, entail, extort, make unreasonable demands"
271,d'b,3,i-i,,da'āpu,NA,"push away; repulse, revolt (D)"
272,d'k,3,a-u,,,Ass,"kill, murder, execute, assassinate; defeat, mistreat"
273,d'k,3,u-u,,,B,"kill, murder, execute, assassinate; defeat, mistreat"
274,d'l,3,a-u,,,Ass,"run about, move about"
275,d'l,3,u-u,,,B,"run about, move about"
276,d'm,3,i-i,,da'āmum,"B, Ass",be dark; (D) to darken
277,d'm,3,u-u,,da'āmu,?,become dark; dim
278,d'n,3,a-i,,,Ass,"judge, start a lawsuit"
279,d'n,3,i-i,,,B,"judge, start a lawsuit"
280,d'n,3,i-i,,da'ānu,Ass,"be strong, hard, difficult"
281,d'p,3,?-?,e,,B,to lay warp
282,d'p,3,i-i,,da'āpu,"B, Ass","push away; repulse, (D) revolt"
283,d'r,3,?-?,,duārum,"B, Ass","surround, enfold"
284,d'ṣ,3,a-a,,,"B, Ass","treat with disrespect, unjustly"
285,d'š,3,a-i,,diāšum,Ass,"trample upon, tread"
286,d'š,3,i-i,,,?,thresh
287,dbb,3,u-u,,,"B, Ass","speak, tell; (D) talk much; (Dt) be called"
288,dbq,3,?-?,,,Ass,"cleave, adhere"
289,dbq,3,d-d,,,B,join together
290,dbr,3,?-?,,,B,(meaning unknown)
291,dgl,3,a-u,,,"B, Ass","look at, scan"
292,dh',3,?-?,ea,,B,beat; press down
293,dh',3,a-u,,,Ass,"push, exclude, rebuff, refuse"
294,dhs,3,d-d,,,B,oppress (D)
295,dk',3,e-e,ea,,B,raise; remove; mobilize; arouse; muster; summon
296,dk',3,i-i,e,,Ass,raise; remove; mobilize; arouse; muster; summon
297,dk',3,i-i,ea,,B,raise; remove; mobilize; arouse; muster; summon
298,dkk,3,?-?,,,B,crush; grind (D)
299,dkk,3,u-u,,,"B, Ass",scamper (of donkey)
300,dkm,3,?-?,,,B,bow down; prostrate
301,dkš,3,a-u,,,"B, Ass",press in; stab; thrust
302,dl',3,u-u,,,"B, Ass",draw water; irrigate
303,dlb,3,i-i,,,NA,stir up; be sleepless; stay awake; (D) harass; (N) become restless
304,dlh,3,a-u,,,"B, Ass","stir up, disturb, confuse"
305,dll,3,?-?,,,B,be small
306,dll,3,a-u,,,"B, ASs","proclaim, glorify, praise"
307,dll,3,i-i,,,Ass,be small
308,dlp,3,i-i,,,"B, Ass",stir up; be sleepless; stay awake; (D) harass; (N) become restless
309,dlq,3,i-i,,,Ass,burn
310,dm',3,d-d,,,Ass,"make weep, draw"
311,dm',3,d-d,,,B,bring to tears
312,dm',3,u-u,,,"Ass, B",jerk; convulse
313,dmm,3,u-u,,,"B, Ass","wail, bemoan, mourn"
314,dmq,3,i-i,,,"B, Ass","be good; prosper, flourish, have good fortune"
315,dmš,3,?-?,,,B,wipe(?)
316,dmṣ,3,u-u,,,B,prostrate oneself
317,dn',3,i-i,,,B,be inferior quality?
318,dnn,3,i-i,,,"B, Ass","become strong, become powerful; (R) match in strength"
319,dpn,3,a-u,,,"B, Ass",hurtle towards
320,dpr,3,d-d,,,B,withdraw; move away (D)
321,dpr,3,i-i,,,Ass,"be frequent, swarm"
322,dqq,3,?-?,,,"B, Ass","be fine, be minimal; crush (D)"
323,dqš,3,i-i,,,B,bend down
324,dqš,3,u-u,,,B,bend down
325,dr',3,d-d,,,Mari,reject; neglect
326,dr',3,i-i,ea,,"B, Ass",intercalate (a month)
327,drg,3,?-?,,,B,pack up (textiles)
328,drk,3,a-u,,,"B, Ass",pack; to arrive at
329,drk,3,d-d,,,B,follow?; thresh (D)
330,drq,3,?-?,,,B,pack up
331,drr,3,?-?,,,B,move freely; (N) roam free
332,drr,3,a-u,,,"B, Ass",intercalate a month
333,drš,3,i-i,,,B,try?
334,drs,3,i-i,,,"B, Ass",trample; push back
335,dš',3,i-i,e,,B,sprout; (D) let flourish; (Dt) abound
336,dšp,3,?-?,,,"B, Ass",be sweet; (D) sweeten
337,dw',3,u-u,,,B,jerk; convulse
338,g'',3,?-?,,,B,"I be superior; II spit, spew"
339,g'r,3,?-?,,,B,challenge; demand
340,g'š,3,?-?,,,B,vomit
341,g'š,3,?-?,e,,Ass,"turn over, gash, grub up"
342,g's,3,?-?,e,,B,I assign; confer; II turn over
343,g'š,3,u-u,,,B,"run, hasten"
344,gb',3,d-d,,,Ass,"sew, stitch"
345,gbb,3,a-u,,,B,"burn, "
346,gbb,3,d-d,,,Ass,"broil, grill, fry"
347,gbr,3,?-?,,,Ass,"enforce, use force"
348,gdd,3,a-u,,,B,separate off
349,gdl,3,a-u,,,Ass,"twist, plait, interweave"
350,gdm,3,i-i,,,"B, Ass","cut off a part of body as punishment, amputate"
351,ghb,3,?-?,,,B,cough (D)
352,gl',3,i-i,,,"B, Ass","go inexile, emigrate"
353,glb,3,?-?,,,B,"shear, shave, shave head as punishment; (D) plunder"
354,glb,3,d-d,,,Ass,"shear, shave, shave head as punishment; (D) plunder"
355,gld,3,u-u,,,"B, Ass","twitch, become nervous, become"
356,gll,3,?-?,,,B,roll
357,gll,3,a-a,,,Ass,"roll; reel, trundle"
358,gll,3,d-d,,,Ass,blind
359,glš,3,?-?,,,B,flatten off?
360,glt,3,u-u,,,B,"twitch, become nervous, become"
361,gm',3,?-?,,,B,meaning unknown
362,gmd,3,?-?,,,Ass,haggle; mangle
363,gml,3,i-i,,,"B, Ass","spare, save, perform a kind act"
364,gmm,3,?-?,,,B,cut off
365,gmr,3,a-u,,,"B, Ass","bring to an end, come to an end; (D) control totally"
366,gmt,3,?-?,,,B,(D) anger
367,gmz,3,?-?,,,Ass,crinkle
368,gmz,3,d-d,,,Ass,press hard(?)
369,gn',3,?-?,,,B,"to thrust, butt"
370,gnh,3,i-i,,,"B, Ass",cough
371,gnn,3,a-u,,,B,"encircle, shut in"
372,gnṣ,3,?-?,,,B,"lift nose, lift lip, sneer"
373,gnṣ,3,a-u,,,Ass,"lift (nose, lip)"
374,gp',3,?-?,,,B,meaning unknown
375,gpr,3,?-?,,,B,be superior
376,gpr,3,i-i,,,Ass,be superior
377,gpš,3,u-u,,,"B, Ass","be huge, mighty; rise"
378,gr',3,i-i,,,"B, Ass","become hostile, start a lawsuit"
379,grb,3,?-?,,,Ass,be leprous
380,grd,3,?-?,,,B,"pluck, tear out; scrape off"
381,grd,3,a-u,,,Ass,"pluck, tear out; scrape off"
382,grh,3,a-u,,,"B, Ass",move towards; (of women) be made love to (N)
383,grm,3,i-i,,,"B, Ass",follow course of a planet
384,grn,3,a-u,,,Ass,"store, pile up; (D) "
385,grr,3,u-u,,,"B, Ass","writhe, grovel; (D) drip; become scared; wince"
386,grš,3,a-u,,,"Ass, B",move towards; (N) (of women) be made love to
387,grṣ,3,a-u,,,B,"pinch off, break off, gnaw bone"
388,grṣ,3,i-i,,,B,"pinch off, break off, gnaw bone"
389,gš',3,?-?,,,B,to belch
390,gš',3,i-i,,,Ass,"belch, burp"
391,gšr,3,i-i,,,"B, Ass",become powerful; (Dt) strike with great force
392,gṣṣ,3,a-u,,,B,shear (sheep and goats)
393,gšš,3,a-u,,,B,cut off
394,gṣṣ,3,i-i,,,Ass,be cruel
395,gṣṣ,3,u-u,,,Ass,"grind, grate, gnash (teeth)"
396,gw',3,?-?,,,B,be superior
397,gz',3,d-d,,,B,take refuge
398,gzl,3,a-u,,,Ass,"steal, carry off; rob"
399,gzr,3,i-i,,,Ass,cut; circumcise
400,gzz,3,a-u,,,"B, Ass",shear (sheep and goats)
401,h'b,3,?-?,,,B,"I love; II cleanse, purify (cultically)"
402,h'd,3,u-u,,,B,"be joyful, rejoice"
403,h'l,3,?-?,,,B,"I be in labour, pain; II be(come) ill"
404,h'l,3,a-i,,,Ass,"be in labor, pain; II be(come) ill; III exude"
405,h'p,3,?-?,,,B,"I cleanse, purify (cultically); II fear"
406,h'p,3,a-i,,,Ass,"cleanse, purify"
407,h'q,3,a-i,,hiāqu,Ass,"mix, blend, mingle"
408,h'r,3,?-?,,,B,choose; seek out
409,h'r,3,a-i,,hiāru,Ass,"choose, select, seek out"
410,h'š,3,a-a,,,Ass,be anxious; ail; (D)
411,h'š,3,a-a,,,B,hasten
412,h'š,3,a-i,,hiāšu,Ass,"hurry, hasten, rush"
413,h't,3,?-?,,,B,seize prey
414,h'ṭ,3,a-i,,,Ass,"search, explore, investigate"
415,h'ṭ,3,a-i,,hiāṭu,Ass,weigh
416,h'ṭ,3,i-i,,,B,"watch over, examine, search"
417,hb',3,?-?,,,B,I be soft; II give refuge
418,hb',3,d-d,,,B,sew
419,hb',3,u-u,,,"B, Ass",draw water; deplete
420,hbb,3,u-u,,,"B, Ass","buzz, murmur, twitter; (D) hiss at (of snake)"
421,hbl,3,a-a,,,B,"bind, harness"
422,hbl,3,a-u,,,B,"I oppress, wrong, ravage, II borrow, be in debt"
423,hbl,3,i-i,,,"B, Ass","I oppress, wrong, ravage, II borrow, be in debt"
424,hbr,3,?-?,,,B,be solid
425,hbr,3,u-u,,,"B, Ass","be noisy, babble, blab; be busy"
426,hbš,3,a-u,,,"B, Ass","crush, comminute, chop, break"
427,hbṣ,3,u-u,,,Ass,"be exuberant, be luxuriant"
428,hbš,3,u-u,,,B,"become hard, swollen"
429,hbṣ,3,u-u,,,B,"I be distended; (S) make rejoice, II smite down, pulverize"
430,hbt,3,a-u,,,"B, Ass","I rob, maraud, take away (by force); II loan grain?; III wander"
431,hd',3,i-i,,,B,"rejoice, become glad"
432,hd',3,u-u,,,"B, Ass","rejoice, become glad"
433,hdd,3,a-u,,,"B, Ass","rustle, swish; rub"
434,hdd,3,u-u,,,B,I roar (of storm); II incise deeply
435,hdl,3,a-u,,,B,I tie up; (Gt) tie together
436,hdl,3,i-i,,,B,"II retreat, go back"
437,hdq,3,?-?,,,B,press against another
438,hdr,3,a-u,,,B,"be dark, gloomy"
439,hdš,3,d-d,,,B,rejoice
440,hh',3,?-?,IRREGULAR,hahû,B,"slag, clinker (pottery)"
441,hh',3,u-u,IRREGULAR,hahû,"B, Ass","spew, spit out, vomit"
442,hk',3,?-?,,,B,take thought
443,hkm,3,i-i,,,"B, Ass",understand; (D) inform
444,hkr,3,i-i,,,B,comminute
445,hl',3,?-?,,,B,be(come) ill
446,hl',3,?-?,e,,B,be bright
447,hl',3,u-u,,,Ass,"be bright, shine"
448,hlb,3,?-?,,,B,milk (a breast)
449,hlb,3,i-i,,,Ass,milk
450,hll,3,a-u,,,"B, ASs","I confine, shut away; II creep"
451,hll,3,u-u,,,"B, Ass","murmur, wheeze, make sound (of birds, flute)"
452,hlp,3,?-?,,,B,accuse; (S) indict
453,hlp,3,a-u,,,Ass,"exchange, substitute"
454,hlp,3,d-d,,,B,indict (S)
455,hlp,3,i-i,,,Ass,milk
456,hlp,3,u-u,,,"B, Ass","slip in, slip through"
457,hlp,3,u-u,,,"B, Ass","cover, clothe"
458,hlq,3,a-u,,,B,comb out wool
459,hlq,3,i-i,,,"B, Ass","vanish, become lost, escape, flee"
460,hlṣ,3,a-u,,,"B, Ass","comb out, filter, strain"
461,hlš,3,a-u,,,"B, Ass",scrape of fungus
462,hlt,3,u-u,,,B,swallow
